ITEM,LIST,CONDITION,CONDITION_RC,CONDITION_NUMBER,MC_SUBJ_NUMBER,SENTENCE,QUESTION,CORRECT,WRONG,TYPE,MC_SUBJ,RC,MC_VERB,SPILL-OVER
1,1,1,SRC,Match,SG,The driver*that*followed*the kid*during the day*wondered*about*the strange situation.,Did the driver wonder about his situation?,J,F,item,The driver*,that*followed*the kid*during the day*,wondered*,about*the strange situation.
1,2,2,SRC,Mismatch,SG,The driver*that*followed*the kids*during the day*wondered*about*the strange situation.,Did the driver wonder about his situation?,J,F,item,The driver*,that*followed*the kids*during the day*,wondered*,about*the strange situation.
1,3,3,ORC,Match,SG,The driver*that*the kid*followed*during the day*wondered*about*the strange situation.,Did the driver wonder about his situation?,J,F,item,The driver*,that*the kid*followed*during the day*,wondered*,about*the strange situation.
1,4,4,ORC,Mismatch,SG,The driver*that*the kids*followed*during the day*wondered*about*the strange situation.,Did the driver wonder about his situation?,J,F,item,The driver*,that*the kids*followed*during the day*,wondered*,about*the strange situation.
2,2,1,SRC,Match,SG,The chef*that*distracted*the waiter*in the kitchen*poured*broth*into large pots.,Did the chef pour the water into the pot?,F,J,item,The chef*,that*distracted*the waiter*in the kitchen*,poured*,broth*into large pots.
2,3,2,SRC,Mismatch,SG,The chef*that*distracted*the waiters*in the kitchen*poured*broth*into large pots.,Did the chef pour the water into the pot?,F,J,item,The chef*,that*distracted*the waiters*in the kitchen*,poured*,broth*into large pots.
2,4,3,ORC,Match,SG,The chef*that*the waiter*distracted*in the kitchen*poured*broth*into large pots.,Did the chef pour the water into the pot?,F,J,item,The chef*,that*the waiter*distracted*in the kitchen*,poured*,broth*into large pots.
2,1,4,ORC,Mismatch,SG,The chef*that*the waiters*distracted*in the kitchen*poured*broth*into large pots.,Did the chef pour the water into the pot?,F,J,item,The chef*,that*the waiters*distracted*in the kitchen*,poured*,broth*into large pots.
3,3,1,SRC,Match,SG,The child*that*ignored*the babysitter*in the morning*bothered*her*with constant questions.,Did the child bother someone?,J,F,item,The child*,that*ignored*the babysitter*in the morning*,bothered*,her*with constant questions.
3,4,2,SRC,Mismatch,SG,The child*that*ignored*the babysitters*in the morning*bothered*her*with constant questions.,Did the child bother someone?,J,F,item,The child*,that*ignored*the babysitters*in the morning*,bothered*,her*with constant questions.
3,1,3,ORC,Match,SG,The child*that*the babysitter*ignored*in the morning*bothered*her*with constant questions.,Did the child bother someone?,J,F,item,The child*,that*the babysitter*ignored*in the morning*,bothered*,her*with constant questions.
3,2,4,ORC,Mismatch,SG,The child*that*the babysitters*ignored*in the morning*bothered*her*with constant questions.,Did the child bother someone?,J,F,item,The child*,that*the babysitters*ignored*in the morning*,bothered*,her*with constant questions.
4,4,1,SRC,Match,SG,The student*that*disputed*the teacher*after the class*skipped*school*the following morning.,Did the student skip school?,J,F,item,The student*,that*disputed*the teacher*after the class*,skipped*,school*the following morning.
4,1,2,SRC,Mismatch,SG,The student*that*disputed*the teachers*after the class*skipped*school*the following morning.,Did the student skip school?,J,F,item,The student*,that*disputed*the teachers*after the class*,skipped*,school*the following morning.
4,2,3,ORC,Match,SG,The student*that*the teacher*disputed*after class*skipped*school*the following morning.,Did the student skip school?,J,F,item,The student*,that*the teacher*disputed*after class*,skipped*,school*the following morning.
4,3,4,ORC,Mismatch,SG,The student*that*the teachers*disputed*after class*skipped*school*the following morning.,Did the student skip school?,J,F,item,The student*,that*the teachers*disputed*after class*,skipped*,school*the following morning.
5,1,1,SRC,Match,SG,The dancer*that*loved*the fan*at the theater*ignored*instructions*from the director.,Was the dancer paying attention to the director?,F,J,item,The dancer*,that*loved*the fan*at the theater*,ignored*,instructions*from the director.
5,2,2,SRC,Mismatch,SG,The dancer*that*loved*the fans*at the theater*ignored*instructions*from the director.,Was the dancer paying attention to the director?,F,J,item,The dancer*,that*loved*the fans*at the theater*,ignored*,instructions*from the director.
5,3,3,ORC,Match,SG,The dancer*that*the fan*loved*at the theater*ignored*instructions*from the director.,Was the dancer paying attention to the director?,F,J,item,The dancer*,that*the fan*loved*at the theater*,ignored*,instructions*from the director.
5,4,4,ORC,Mismatch,SG,The dancer*that*the fans*loved*at the theater*ignored*instructions*from the director.,Was the dancer paying attention to the director?,F,J,item,The dancer*,that*the fans*loved*at the theater*,ignored*,instructions*from the director.
6,2,1,SRC,Match,SG,The employee*that*spotted*the fireman*in the building*alerted*security*about the fire.,Did the worker report the fire?,J,F,item,The employee*,that*spotted*the fireman*in the building*,alerted*,security*about the fire.
